,date,store_id,item_id,event_name_1,month,sell_price,wday,weekday,sales,prediction,AE,sales_prediction
0,2013-01-01,CA_3,FOODS_3_090,NewYear,1,1.25,4,Tuesday,0,,,0
1,2013-01-01,CA_4,FOODS_3_090,NewYear,1,1.25,4,Tuesday,33,,,33
2,2013-01-01,CA_3,FOODS_3_120,NewYear,1,4.98,4,Tuesday,0,,,0
3,2013-01-01,CA_4,FOODS_3_120,NewYear,1,4.98,4,Tuesday,0,,,0
4,2013-01-01,CA_3,FOODS_3_202,NewYear,1,4.28,4,Tuesday,20,,,20
5,2013-01-01,CA_4,FOODS_3_202,NewYear,1,4.28,4,Tuesday,5,,,5
6,2013-01-01,CA_3,FOODS_3_252,NewYear,1,1.48,4,Tuesday,34,,,34
7,2013-01-01,CA_4,FOODS_3_252,NewYear,1,1.48,4,Tuesday,6,,,6
8,2013-01-01,CA_3,FOODS_3_288,NewYear,1,1.5,4,Tuesday,0,,,0
9,2013-01-01,CA_4,FOODS_3_288,NewYear,1,1.5,4,Tuesday,0,,,0
10,2013-01-01,CA_3,FOODS_3_329,NewYear,1,2.98,4,Tuesday,39,,,39
11,2013-01-01,CA_4,FOODS_3_329,NewYear,1,2.98,4,Tuesday,0,,,0
12,2013-01-01,CA_3,FOODS_3_555,NewYear,1,1.58,4,Tuesday,9,,,9
13,2013-01-01,CA_4,FOODS_3_555,NewYear,1,1.58,4,Tuesday,7,,,7
14,2013-01-01,CA_3,FOODS_3_586,NewYear,1,1.58,4,Tuesday,50,,,50
15,2013-01-01,CA_4,FOODS_3_586,NewYear,1,1.58,4,Tuesday,9,,,9
16,2013-01-01,CA_3,FOODS_3_587,NewYear,1,2.68,4,Tuesday,23,,,23
17,2013-01-01,CA_4,FOODS_3_587,NewYear,1,2.68,4,Tuesday,12,,,12
18,2013-01-01,CA_3,FOODS_3_714,NewYear,1,1.48,4,Tuesday,17,,,17
19,2013-01-01,CA_4,FOODS_3_714,NewYear,1,1.48,4,Tuesday,7,,,7
20,2013-01-02,CA_3,FOODS_3_090,No_event,1,1.25,5,Wednesday,224,,,224
21,2013-01-02,CA_4,FOODS_3_090,No_event,1,1.25,5,Wednesday,32,,,32
22,2013-01-02,CA_3,FOODS_3_120,No_event,1,4.98,5,Wednesday,0,,,0
23,2013-01-02,CA_4,FOODS_3_120,No_event,1,4.98,5,Wednesday,0,,,0
24,2013-01-02,CA_3,FOODS_3_202,No_event,1,4.28,5,Wednesday,23,,,23
25,2013-01-02,CA_4,FOODS_3_202,No_event,1,4.28,5,Wednesday,5,,,5
26,2013-01-02,CA_3,FOODS_3_252,No_event,1,1.48,5,Wednesday,27,,,27
27,2013-01-02,CA_4,FOODS_3_252,No_event,1,1.48,5,Wednesday,5,,,5
28,2013-01-02,CA_3,FOODS_3_288,No_event,1,1.5,5,Wednesday,0,,,0
29,2013-01-02,CA_4,FOODS_3_288,No_event,1,1.5,5,Wednesday,0,,,0
30,2013-01-02,CA_3,FOODS_3_329,No_event,1,2.98,5,Wednesday,75,,,75
31,2013-01-02,CA_4,FOODS_3_329,No_event,1,2.98,5,Wednesday,6,,,6
32,2013-01-02,CA_3,FOODS_3_555,No_event,1,1.58,5,Wednesday,31,,,31
33,2013-01-02,CA_4,FOODS_3_555,No_event,1,1.58,5,Wednesday,4,,,4
34,2013-01-02,CA_3,FOODS_3_586,No_event,1,1.58,5,Wednesday,62,,,62
35,2013-01-02,CA_4,FOODS_3_586,No_event,1,1.58,5,Wednesday,16,,,16
36,2013-01-02,CA_3,FOODS_3_587,No_event,1,2.68,5,Wednesday,24,,,24
37,2013-01-02,CA_4,FOODS_3_587,No_event,1,2.68,5,Wednesday,10,,,10
38,2013-01-02,CA_3,FOODS_3_714,No_event,1,1.48,5,Wednesday,16,,,16
39,2013-01-02,CA_4,FOODS_3_714,No_event,1,1.48,5,Wednesday,5,,,5
40,2013-01-03,CA_3,FOODS_3_090,No_event,1,1.25,6,Thursday,241,,,241
41,2013-01-03,CA_4,FOODS_3_090,No_event,1,1.25,6,Thursday,29,,,29
42,2013-01-03,CA_3,FOODS_3_120,No_event,1,4.98,6,Thursday,0,,,0
43,2013-01-03,CA_4,FOODS_3_120,No_event,1,4.98,6,Thursday,0,,,0
44,2013-01-03,CA_3,FOODS_3_202,No_event,1,4.28,6,Thursday,23,,,23
45,2013-01-03,CA_4,FOODS_3_202,No_event,1,4.28,6,Thursday,2,,,2
46,2013-01-03,CA_3,FOODS_3_252,No_event,1,1.48,6,Thursday,40,,,40
